species,decimalLatitude,decimalLongitude,geometry,index_right,latitude,longitude,temp,precip,nitrogen,dist_km
Bombus terrestris,51.474194,11.997687,POINT (11.997687 51.474194),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.1226682501913184
Bombus terrestris,51.289364,11.896355,POINT (11.896355 51.289364),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.01124324334878346
Bombus terrestris,51.453884,11.770845,POINT (11.770845 51.453884),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.06126581004932894
Bombus terrestris,51.336327,11.947244,POINT (11.947244 51.336327),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.05959569166474974
Bombus terrestris,51.408657,11.857706,POINT (11.857706 51.408657),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04317089395646093
Bombus terrestris,51.476219,11.967577,POINT (11.967577 51.476219),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10186258827459803
Bombus terrestris,51.215553,11.775058,POINT (11.775058 51.215553),0,51.3,11.8,4.437247004489247,1.320091878885887,50.0,0.08805338819715909
Bombus terrestris,51.49955,11.959551,POINT (11.959551 51.49955),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.11600225903403788
Bombus terrestris,51.451389,11.939453,POINT (11.939453 51.451389),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.06478710157122351
Bombus terrestris,51.348553,11.99492,POINT (11.99492 51.348553),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.10661707278386771
Bombus terrestris,51.216,11.735,POINT (11.735 51.216),0,51.3,11.8,4.437247004489247,1.320091878885887,50.0,0.10621205204683462
Bombus terrestris,51.340954,11.97247,POINT (11.97247 51.340954),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.0832414020545089
Bombus terrestris,51.455158,11.81514,POINT (11.81514 51.455158),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.05719811678717947
Bombus terrestris,51.2155,11.734392,POINT (11.734392 51.2155),0,51.3,11.8,4.437247004489247,1.320091878885887,50.0,0.10697971613347958
Bombus terrestris,51.472939,11.972373,POINT (11.972373 51.472939),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10275188003146007
Bombus terrestris,51.49461,11.948973,POINT (11.948973 51.49461),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10653359483749987
Bombus terrestris,51.278027,11.941699,POINT (11.941699 51.278027),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.04713405700764324
Bombus terrestris,51.473701,11.956834,POINT (11.956834 51.473701),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09306954903189335
Bombus terrestris,51.473701,11.956834,POINT (11.956834 51.473701),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09306954903189335
Bombus terrestris,51.444489,11.947692,POINT (11.947692 51.444489),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.0652211467623795
Bombus terrestris,51.480957,11.977601,POINT (11.977601 51.480957),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.11214254790221062
Bombus terrestris,51.337414,11.940372,POINT (11.940372 51.337414),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.05504276319372396
Bombus terrestris,51.404507,11.963143,POINT (11.963143 51.404507),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.06330364521889759
Bombus terrestris,51.473701,11.956834,POINT (11.956834 51.473701),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09306954903189335
Bombus terrestris,51.455265,11.956103,POINT (11.956103 51.455265),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.0787512973480429
Bombus terrestris,51.490681,11.918749,POINT (11.918749 51.490681),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09259896739165419
